dataset,file,n,reference_type,reference_distance,algorithm,distance,runtime_s,accuracy
berlin52,berlin52.tsp,52,Skipped,,Nearest Neighbour,8980.918279329191,0.0004799999878741801,
berlin52,berlin52.tsp,52,Skipped,,NN + 2-Opt,8384.187161856415,0.0650817999849096,
berlin52,berlin52.tsp,52,Skipped,,Simulated Annealing (15s),8980.918279329191,15.000194699998247,
berlin52,berlin52.tsp,52,Skipped,,Genetic Algorithm,8667.8355549137,15.002062300016405,
berlin52,berlin52.tsp,52,Skipped,,Ant Colony (15s),8071.998523037018,15.001048600010108,
burma14,burma14.tsp,14,Held-Karp Algorithm,30.878503892588,Nearest Neighbour,38.68810773852191,6.10999995842576e-05,79.81394205496937
burma14,burma14.tsp,14,Held-Karp Algorithm,30.878503892588,NN + 2-Opt,38.49413148992237,0.0006387000030372292,80.21613346614116
burma14,burma14.tsp,14,Held-Karp Algorithm,30.878503892588,Simulated Annealing (15s),35.65193232852937,15.000479499984067,86.61102463688461
burma14,burma14.tsp,14,Held-Karp Algorithm,30.878503892588,Genetic Algorithm,31.97591264793842,15.00072170002386,96.56801428177165
burma14,burma14.tsp,14,Held-Karp Algorithm,30.878503892588,Ant Colony (15s),31.566961626179083,15.000047400011681,97.81905606962144
burma14,burma14.tsp,14,Held-Karp Algorithm,30.878503892588,Held-Karp Algorithm,30.878503892588,0.17281769998953678,100.0
dj38,dj38.tsp,38,Branch&Bound(30s),7992.077131228729,Nearest Neighbour,9748.94670516838,0.00026950001483783126,81.97887805655711
dj38,dj38.tsp,38,Branch&Bound(30s),7992.077131228729,NN + 2-Opt,9006.407213317612,0.033809400018071756,88.73768353945832
dj38,dj38.tsp,38,Branch&Bound(30s),7992.077131228729,Simulated Annealing (15s),8541.189406062436,15.001513399998657,93.57100927367384
dj38,dj38.tsp,38,Branch&Bound(30s),7992.077131228729,Genetic Algorithm,8132.759757434099,15.001604300021427,98.27017358926933
dj38,dj38.tsp,38,Branch&Bound(30s),7992.077131228729,Ant Colony (15s),6865.397207241267,15.000725199992303,100.0
dj38,dj38.tsp,38,Branch&Bound(30s),7992.077131228729,Branch&Bound(30s),7992.077131228729,30.00081689999206,100.0
eil51,eil51.tsp,19,Held-Karp Algorithm,238.6244437746584,Nearest Neighbour,276.3578463686893,7.54999928176403e-05,86.34618011037372
eil51,eil51.tsp,19,Held-Karp Algorithm,238.6244437746584,NN + 2-Opt,242.11296565828042,0.001673299993854016,98.55913462786387
eil51,eil51.tsp,19,Held-Karp Algorithm,238.6244437746584,Simulated Annealing (15s),238.6244437746584,15.000355399999535,100.0
eil51,eil51.tsp,19,Held-Karp Algorithm,238.6244437746584,Genetic Algorithm,276.3578463686893,15.000872399978107,86.34618011037372
eil51,eil51.tsp,19,Held-Karp Algorithm,238.6244437746584,Ant Colony (15s),242.11296565828042,15.000934300012887,98.55913462786387
eil51,eil51.tsp,19,Held-Karp Algorithm,238.6244437746584,Held-Karp Algorithm,238.6244437746584,8.887970899988431,100.0
ulysses16.tsp,ulysses16.tsp,16,Held-Karp Algorithm,73.987618045175,Nearest Neighbour,104.73494586816572,0.00010870001278817654,70.64272333544366
ulysses16.tsp,ulysses16.tsp,16,Held-Karp Algorithm,73.987618045175,NN + 2-Opt,83.60521338695033,0.0015712999738752842,88.49641672791124
ulysses16.tsp,ulysses16.tsp,16,Held-Karp Algorithm,73.987618045175,Simulated Annealing (15s),80.67995085739003,15.000951599999098,91.70508566118936
ulysses16.tsp,ulysses16.tsp,16,Held-Karp Algorithm,73.987618045175,Genetic Algorithm,73.98761804517501,15.00048649997916,99.99999999999997
ulysses16.tsp,ulysses16.tsp,16,Held-Karp Algorithm,73.987618045175,Ant Colony (15s),75.43310608032898,15.000978299998678,98.08374848887347
ulysses16.tsp,ulysses16.tsp,16,Held-Karp Algorithm,73.987618045175,Held-Karp Algorithm,73.987618045175,0.797875499993097,100.0
wi29,wi29.tsp,29,Branch&Bound(30s),33335.566263720095,Nearest Neighbour,36388.05923226534,0.00018140001338906586,91.61127844422494
wi29,wi29.tsp,29,Branch&Bound(30s),33335.566263720095,NN + 2-Opt,35345.84654775374,0.007186499977251515,94.3125416976004
wi29,wi29.tsp,29,Branch&Bound(30s),33335.566263720095,Simulated Annealing (15s),33254.46129390942,15.000138900009915,100.0
wi29,wi29.tsp,29,Branch&Bound(30s),33335.566263720095,Genetic Algorithm,35091.94658391338,15.001022100012051,94.99491908779312
wi29,wi29.tsp,29,Branch&Bound(30s),33335.566263720095,Ant Colony (15s),29175.731849595315,15.000074099982157,100.0
wi29,wi29.tsp,29,Branch&Bound(30s),33335.566263720095,Branch&Bound(30s),33335.566263720095,30.00057609999203,100.0
